"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"NR Welch (ZIM)","2025-2025",8,15,1,368,"90",26.28,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/696145.html?class=1;template=results;type=batting;view=innings"
"Afsar Zazai (AFG)","2018-2025",9,15,1,367,"113",26.21,1,0,1,"https://stats.espncricinfo.com/ci/engine/player/420402.html?class=1;template=results;type=batting;view=innings"
"PJ Wiseman (NZ)","1998-2005",25,34,8,366,"36",14.07,0,0,5,"https://stats.espncricinfo.com/ci/engine/player/38753.html?class=1;template=results;type=batting;view=innings"
"NJN Hawke (AUS)","1963-1968",27,37,15,365,"45*",16.59,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/5611.html?class=1;template=results;type=batting;view=innings"
"Saim Ayub (PAK)","2024-2025",8,14,0,364,"77",26,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/1161031.html?class=1;template=results;type=batting;view=innings"
"WE Russell (ENG)","1961-1967",10,18,1,362,"70",21.29,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/19503.html?class=1;template=results;type=batting;view=innings"
"S Ramadhin (WI)","1950-1961",43,58,14,361,"44",8.2,0,0,14,"https://stats.espncricinfo.com/ci/engine/player/52804.html?class=1;template=results;type=batting;view=innings"
"PR Adams (SA)","1995-2004",45,55,15,360,"35",9,0,0,8,"https://stats.espncricinfo.com/ci/engine/player/43919.html?class=1;template=results;type=batting;view=innings"
"Danish Kaneria (PAK)","2000-2010",61,84,33,360,"29",7.05,0,0,25,"https://stats.espncricinfo.com/ci/engine/player/40043.html?class=1;template=results;type=batting;view=innings"
"CMW Read (ENG)","1999-2007",15,23,4,360,"55",18.94,0,1,5,"https://stats.espncricinfo.com/ci/engine/player/19346.html?class=1;template=results;type=batting;view=innings"
"PS de Villiers (SA)","1993-1998",18,26,7,359,"67*",18.89,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/44696.html?class=1;template=results;type=batting;view=innings"
"HJH Scott (AUS)","1884-1886",8,14,1,359,"102",27.61,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/7581.html?class=1;template=results;type=batting;view=innings"
"ID Craig (AUS)","1953-1958",11,18,0,358,"53",19.88,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/4652.html?class=1;template=results;type=batting;view=innings"
"BC Rose (ENG)","1977-1981",9,16,2,358,"70",25.57,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/19478.html?class=1;template=results;type=batting;view=innings"
"BA Carse (ENG)","2024-2026",14,23,3,357,"56",17.85,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/596417.html?class=1;template=results;type=batting;view=innings"
"P Holmes (ENG)","1921-1932",7,14,1,357,"88",27.46,0,4,3,"https://stats.espncricinfo.com/ci/engine/player/14254.html?class=1;template=results;type=batting;view=innings"
"SJ Pegler (SA)","1910-1924",16,28,5,356,"35*",15.47,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/46745.html?class=1;template=results;type=batting;view=innings"
"AJ Bichel (AUS)","1997-2003",19,22,1,355,"71",16.9,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/4146.html?class=1;template=results;type=batting;view=innings"
"JMM Commaille (SA)","1910-1928",12,22,1,355,"47",16.9,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/44454.html?class=1;template=results;type=batting;view=innings"
"BW Hilfenhaus (AUS)","2009-2012",27,38,12,355,"56*",13.65,0,1,8,"https://stats.espncricinfo.com/ci/engine/player/5941.html?class=1;template=results;type=batting;view=innings"
"PNF Mansell (SA)","1951-1955",13,22,2,355,"90",17.75,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/46170.html?class=1;template=results;type=batting;view=innings"
"MS Nichols (ENG)","1930-1939",14,19,7,355,"78*",29.58,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/18021.html?class=1;template=results;type=batting;view=innings"
"MB Poore (NZ)","1953-1956",14,24,1,355,"45",15.43,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/38130.html?class=1;template=results;type=batting;view=innings"
"WA Shalders (SA)","1899-1907",12,23,1,355,"42",16.13,0,0,4,"https://stats.espncricinfo.com/ci/engine/player/47181.html?class=1;template=results;type=batting;view=innings"
"RT Spooner (ENG)","1951-1955",7,14,1,354,"92",27.23,0,3,3,"https://stats.espncricinfo.com/ci/engine/player/20317.html?class=1;template=results;type=batting;view=innings"
"MN Hart (NZ)","1994-1995",14,24,4,353,"45",17.65,0,0,3,"https://stats.espncricinfo.com/ci/engine/player/37237.html?class=1;template=results;type=batting;view=innings"
"BL Irvine (SA)","1970-1970",4,7,0,353,"102",50.42,1,2,0,"https://stats.espncricinfo.com/ci/engine/player/45696.html?class=1;template=results;type=batting;view=innings"
"SAR Silva (SL)","1983-1988",9,16,2,353,"111",25.21,2,0,1,"https://stats.espncricinfo.com/ci/engine/player/50432.html?class=1;template=results;type=batting;view=innings"
"HB Taber (AUS)","1966-1970",16,27,5,353,"48",16.04,0,0,3,"https://stats.espncricinfo.com/ci/engine/player/7912.html?class=1;template=results;type=batting;view=innings"
"Aamer Jamal (PAK)","2023-2025",8,15,2,352,"82",27.07,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/793441.html?class=1;template=results;type=batting;view=innings"
"SB Joshi (IND)","1996-2000",15,19,2,352,"92",20.7,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/29725.html?class=1;template=results;type=batting;view=innings"
"JG Leggat (NZ)","1952-1956",9,18,2,351,"61",21.93,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/37607.html?class=1;template=results;type=batting;view=innings"
"S Matsikenyeri (ZIM)","2003-2005",8,16,1,351,"57",23.4,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/55612.html?class=1;template=results;type=batting;view=innings"
"DK Gaekwad (IND)","1952-1961",11,20,1,350,"52",18.42,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/28755.html?class=1;template=results;type=batting;view=innings"
"P Lever (ENG)","1970-1975",17,18,2,350,"88*",21.87,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/16262.html?class=1;template=results;type=batting;view=innings"
"CK Nayudu (IND)","1932-1936",7,14,0,350,"81",25,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/31811.html?class=1;template=results;type=batting;view=innings"
"SCG MacGill (AUS)","1998-2008",44,47,11,349,"43",9.69,0,0,12,"https://stats.espncricinfo.com/ci/engine/player/6441.html?class=1;template=results;type=batting;view=innings"
"JA Warrican (WI)","2015-2025",23,41,14,349,"41",12.92,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/432214.html?class=1;template=results;type=batting;view=innings"
"JJ Bumrah (IND)","2018-2025",52,78,25,348,"34*",6.56,0,0,28,"https://stats.espncricinfo.com/ci/engine/player/625383.html?class=1;template=results;type=batting;view=innings"
"CR Matthews (SA)","1992-1995",18,25,6,348,"62*",18.31,0,1,4,"https://stats.espncricinfo.com/ci/engine/player/46189.html?class=1;template=results;type=batting;view=innings"
"EP Nupen (SA)","1921-1936",17,31,7,348,"69",14.5,0,2,5,"https://stats.espncricinfo.com/ci/engine/player/46594.html?class=1;template=results;type=batting;view=innings"
"Jahurul Islam (BAN)","2010-2013",7,14,1,347,"48",26.69,0,0,2,"https://stats.espncricinfo.com/ci/engine/player/55944.html?class=1;template=results;type=batting;view=innings"
"LSM Miller (NZ)","1953-1958",13,25,0,346,"47",13.84,0,0,5,"https://stats.espncricinfo.com/ci/engine/player/37719.html?class=1;template=results;type=batting;view=innings"
"MA Carberry (ENG)","2010-2014",6,12,0,345,"60",28.75,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/10656.html?class=1;template=results;type=batting;view=innings"
"EW Freeman (AUS)","1968-1970",11,18,0,345,"76",19.16,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/5258.html?class=1;template=results;type=batting;view=innings"
"Rizwan-uz-Zaman (PAK)","1981-1989",11,19,1,345,"60",19.16,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/42428.html?class=1;template=results;type=batting;view=innings"
"Sanuar Hossain (BAN)","2001-2003",9,18,0,345,"49",19.16,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/56107.html?class=1;template=results;type=batting;view=innings"
"Lord Tennyson (ENG)","1913-1921",9,12,1,345,"74*",31.36,0,4,1,"https://stats.espncricinfo.com/ci/engine/player/21499.html?class=1;template=results;type=batting;view=innings"
"D Dasgupta (IND)","2001-2002",8,13,1,344,"100",28.66,1,2,2,"https://stats.espncricinfo.com/ci/engine/player/28146.html?class=1;template=results;type=batting;view=innings"
"FA Rose (WI)","1997-2000",19,28,2,344,"69",13.23,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/52821.html?class=1;template=results;type=batting;view=innings"
"LA Stricker (SA)","1910-1912",13,24,0,344,"48",14.33,0,0,5,"https://stats.espncricinfo.com/ci/engine/player/47251.html?class=1;template=results;type=batting;view=innings"
"TM Dowlin (WI)","2009-2010",6,11,0,343,"95",31.18,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/51660.html?class=1;template=results;type=batting;view=innings"
"FLH Mooney (NZ)","1949-1954",14,22,2,343,"46",17.15,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/37726.html?class=1;template=results;type=batting;view=innings"
"CA Best (WI)","1986-1990",8,13,1,342,"164",28.5,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/51221.html?class=1;template=results;type=batting;view=innings"
"DJ Brown (ENG)","1965-1969",26,34,5,342,"44*",11.79,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/9252.html?class=1;template=results;type=batting;view=innings"
"KL Hutchings (ENG)","1907-1909",7,12,0,341,"126",28.41,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/14327.html?class=1;template=results;type=batting;view=innings"
"CFK van Wyk (NZ)","2012-2012",9,17,1,341,"71",21.31,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/47780.html?class=1;template=results;type=batting;view=innings"
"AEE Vogler (SA)","1906-1911",15,26,6,340,"65",17,0,2,4,"https://stats.espncricinfo.com/ci/engine/player/47739.html?class=1;template=results;type=batting;view=innings"
"MG Bracewell (NZ)","2022-2025",10,17,1,339,"74*",21.18,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/326968.html?class=1;template=results;type=batting;view=innings"
"TW Garrett (AUS)","1877-1888",19,33,6,339,"51*",12.55,0,1,5,"https://stats.espncricinfo.com/ci/engine/player/5364.html?class=1;template=results;type=batting;view=innings"
"GJ Maxwell (AUS)","2013-2017",7,14,1,339,"104",26.07,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/325026.html?class=1;template=results;type=batting;view=innings"
"PP Shaw (IND)","2018-2020",5,9,1,339,"134",42.37,1,2,1,"https://stats.espncricinfo.com/ci/engine/player/1070168.html?class=1;template=results;type=batting;view=innings"
"Jaker Ali (BAN)","2024-2025",6,11,0,337,"91",30.63,0,4,0,"https://stats.espncricinfo.com/ci/engine/player/824541.html?class=1;template=results;type=batting;view=innings"
"A Nel (SA)","2001-2008",36,42,8,337,"34",9.91,0,0,11,"https://stats.espncricinfo.com/ci/engine/player/46569.html?class=1;template=results;type=batting;view=innings"
"Mahmood Hussain (PAK)","1952-1962",27,39,6,336,"35",10.18,0,0,8,"https://stats.espncricinfo.com/ci/engine/player/41267.html?class=1;template=results;type=batting;view=innings"
"Raqibul Hasan (BAN)","2008-2011",9,18,1,336,"65",19.76,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/56093.html?class=1;template=results;type=batting;view=innings"
"SD Robson (ENG)","2014-2014",7,11,0,336,"127",30.54,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/272485.html?class=1;template=results;type=batting;view=innings"
"HSTL Hendry (AUS)","1921-1929",11,18,2,335,"112",20.93,1,0,1,"https://stats.espncricinfo.com/ci/engine/player/5637.html?class=1;template=results;type=batting;view=innings"
"R Rampaul (WI)","2009-2012",18,31,8,335,"40*",14.56,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/52912.html?class=1;template=results;type=batting;view=innings"
"MH Dekker (ZIM)","1993-1996",14,22,1,333,"68*",15.85,0,2,4,"https://stats.espncricinfo.com/ci/engine/player/55367.html?class=1;template=results;type=batting;view=innings"
"Mohammad Mithun (BAN)","2018-2021",10,18,0,333,"67",18.5,0,2,4,"https://stats.espncricinfo.com/ci/engine/player/269237.html?class=1;template=results;type=batting;view=innings"
"BA King (WI)","2025-2025",6,12,0,332,"75",27.66,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/670035.html?class=1;template=results;type=batting;view=innings"
"RC Blunt (NZ)","1930-1932",9,13,1,330,"96",27.5,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/36301.html?class=1;template=results;type=batting;view=innings"
"FR Foster (ENG)","1911-1912",11,15,1,330,"71",23.57,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/12875.html?class=1;template=results;type=batting;view=innings"
"VL Mehra (IND)","1955-1964",8,14,1,329,"62",25.3,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/30974.html?class=1;template=results;type=batting;view=innings"
"Wajahatullah Wasti (PAK)","1999-2000",6,10,1,329,"133",36.55,2,0,0,"https://stats.espncricinfo.com/ci/engine/player/43539.html?class=1;template=results;type=batting;view=innings"
"AM Moir (NZ)","1951-1959",17,30,8,327,"41*",14.86,0,0,5,"https://stats.espncricinfo.com/ci/engine/player/37724.html?class=1;template=results;type=batting;view=innings"
"MC Snedden (NZ)","1981-1990",25,30,8,327,"33*",14.86,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/38398.html?class=1;template=results;type=batting;view=innings"
"HF Wade (SA)","1935-1936",10,18,2,327,"40*",20.43,0,0,4,"https://stats.espncricinfo.com/ci/engine/player/47854.html?class=1;template=results;type=batting;view=innings"
"ALF de Mel (SL)","1982-1986",17,28,5,326,"34",14.17,0,0,5,"https://stats.espncricinfo.com/ci/engine/player/48447.html?class=1;template=results;type=batting;view=innings"
"GM Fullerton (SA)","1947-1951",7,13,0,325,"88",25,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/45078.html?class=1;template=results;type=batting;view=innings"
"CMH Hathorn (SA)","1902-1911",12,20,1,325,"102",17.1,1,0,1,"https://stats.espncricinfo.com/ci/engine/player/45417.html?class=1;template=results;type=batting;view=innings"
"AJ Redmond (NZ)","2008-2013",8,16,1,325,"83",21.66,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/38264.html?class=1;template=results;type=batting;view=innings"
"Sohag Gazi (BAN)","2012-2014",10,16,1,325,"101*",21.66,1,0,3,"https://stats.espncricinfo.com/ci/engine/player/444135.html?class=1;template=results;type=batting;view=innings"
"G Thomas (AUS)","1965-1966",8,12,1,325,"61",29.54,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/7934.html?class=1;template=results;type=batting;view=innings"
"CTB Turner (AUS)","1887-1895",17,32,4,323,"29",11.53,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/7990.html?class=1;template=results;type=batting;view=innings"
"TS Worthington (ENG)","1930-1937",9,11,0,321,"128",29.18,1,1,4,"https://stats.espncricinfo.com/ci/engine/player/22526.html?class=1;template=results;type=batting;view=innings"
"DSBP Kuruppu (SL)","1987-1991",4,7,1,320,"201*",53.33,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/49368.html?class=1;template=results;type=batting;view=innings"
"A Mukund (IND)","2011-2017",7,14,0,320,"81",22.85,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/302582.html?class=1;template=results;type=batting;view=innings"
"DR Smith (WI)","2004-2006",10,14,1,320,"105*",24.61,1,0,4,"https://stats.espncricinfo.com/ci/engine/player/53118.html?class=1;template=results;type=batting;view=innings"
"DM Bess (ENG)","2018-2021",14,19,5,319,"57",22.78,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/646847.html?class=1;template=results;type=batting;view=innings"
"JF Crapp (ENG)","1948-1949",7,13,2,319,"56",29,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/10864.html?class=1;template=results;type=batting;view=innings"
"L Ronchi (NZ)","2015-2016",4,8,0,319,"88",39.87,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/7502.html?class=1;template=results;type=batting;view=innings"
"OAC Banks (WI)","2003-2005",10,16,4,318,"50*",26.5,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/51258.html?class=1;template=results;type=batting;view=innings"
"HJ Keith (SA)","1953-1957",8,16,1,318,"73",21.2,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/45793.html?class=1;template=results;type=batting;view=innings"
"Tauseef Ahmed (PAK)","1980-1993",34,38,20,318,"35*",17.66,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/43277.html?class=1;template=results;type=batting;view=innings"
"MR Adair (IRE)","2019-2025",7,13,2,313,"88",28.45,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/526441.html?class=1;template=results;type=batting;view=innings"
"RJ Sidebottom (ENG)","2001-2010",22,31,11,313,"31",15.65,0,0,3,"https://stats.espncricinfo.com/ci/engine/player/20187.html?class=1;template=results;type=batting;view=innings"
"Kamran Ghulam (PAK)","2024-2025",6,11,0,312,"118",28.36,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/623636.html?class=1;template=results;type=batting;view=innings"
"JWA Taylor (ENG)","2012-2016",7,13,1,312,"76",26,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/297635.html?class=1;template=results;type=batting;view=innings"
"J Hardstaff snr (ENG)","1907-1908",5,10,0,311,"72",31.1,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/14042.html?class=1;template=results;type=batting;view=innings"
"BN French (ENG)","1986-1988",16,21,4,308,"59",18.11,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/12923.html?class=1;template=results;type=batting;view=innings"
"S Samarawickrama (SL)","2017-2024",9,14,1,308,"104*",23.69,1,0,3,"https://stats.espncricinfo.com/ci/engine/player/629076.html?class=1;template=results;type=batting;view=innings"
"W Voce (ENG)","1930-1947",27,38,15,308,"66",13.39,0,1,6,"https://stats.espncricinfo.com/ci/engine/player/22192.html?class=1;template=results;type=batting;view=innings"
"Zubayr Hamza (SA)","2019-2024",8,16,0,307,"62",19.18,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/550187.html?class=1;template=results;type=batting;view=innings"
"JK Lever (ENG)","1976-1986",21,31,5,306,"53",11.76,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/16260.html?class=1;template=results;type=batting;view=innings"
"Q McMillan (SA)","1929-1932",13,21,4,306,"50*",18,0,1,4,"https://stats.espncricinfo.com/ci/engine/player/46216.html?class=1;template=results;type=batting;view=innings"
"Wahab Riaz (PAK)","2010-2018",27,41,5,306,"39",8.5,0,0,9,"https://stats.espncricinfo.com/ci/engine/player/43590.html?class=1;template=results;type=batting;view=innings"
"DW Fleming (AUS)","1994-2001",20,19,3,305,"71*",19.06,0,2,7,"https://stats.espncricinfo.com/ci/engine/player/5239.html?class=1;template=results;type=batting;view=innings"
"Shamsur Rahman (BAN)","2014-2014",6,12,0,305,"106",25.41,1,0,1,"https://stats.espncricinfo.com/ci/engine/player/56154.html?class=1;template=results;type=batting;view=innings"
"BR Hartland (NZ)","1992-1994",9,18,0,303,"52",16.83,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/37235.html?class=1;template=results;type=batting;view=innings"
"AH Jarvis (AUS)","1885-1895",11,21,3,303,"82",16.83,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/6014.html?class=1;template=results;type=batting;view=innings"
"DJ Murray (NZ)","1994-1995",8,16,1,303,"52",20.2,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/37735.html?class=1;template=results;type=batting;view=innings"
"KJ Arnott (ZIM)","1992-1993",4,8,1,302,"101*",43.14,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/55235.html?class=1;template=results;type=batting;view=innings"
"B Sai Sudharsan (IND)","2025-2025",6,11,0,302,"87",27.45,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/1151288.html?class=1;template=results;type=batting;view=innings"
"H Graham (AUS)","1893-1896",6,10,0,301,"107",30.1,2,0,2,"https://stats.espncricinfo.com/ci/engine/player/5422.html?class=1;template=results;type=batting;view=innings"
"PAM Hands (SA)","1913-1924",7,12,0,300,"83",25,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/45404.html?class=1;template=results;type=batting;view=innings"
"Shadab Khan (PAK)","2017-2020",6,11,2,300,"56",33.33,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/922943.html?class=1;template=results;type=batting;view=innings"
"Tahir Naqqash (PAK)","1982-1985",15,19,5,300,"57",21.42,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/43271.html?class=1;template=results;type=batting;view=innings"
"G Brown (ENG)","1921-1923",7,12,2,299,"84",29.9,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/9259.html?class=1;template=results;type=batting;view=innings"
"MD Gunathilaka (SL)","2017-2018",8,16,0,299,"61",18.68,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/345821.html?class=1;template=results;type=batting;view=innings"
"S Joseph (WI)","2024-2025",11,22,3,299,"44",15.73,0,0,2,"https://stats.espncricinfo.com/ci/engine/player/1356971.html?class=1;template=results;type=batting;view=innings"
"GB Legge (ENG)","1927-1930",5,7,1,299,"196",49.83,1,0,2,"https://stats.espncricinfo.com/ci/engine/player/16253.html?class=1;template=results;type=batting;view=innings"
"ACB Langton (SA)","1935-1939",15,23,4,298,"73*",15.68,0,2,5,"https://stats.espncricinfo.com/ci/engine/player/46132.html?class=1;template=results;type=batting;view=innings"
"A Mitchell (ENG)","1933-1936",6,10,0,298,"72",29.8,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/17045.html?class=1;template=results;type=batting;view=innings"
"RA Reifer (WI)","2017-2023",8,14,1,298,"62",22.92,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/450101.html?class=1;template=results;type=batting;view=innings"
"TAM Siriwardana (SL)","2015-2016",5,9,0,298,"68",33.11,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/222354.html?class=1;template=results;type=batting;view=innings"
"S O'Linn (SA)","1960-1961",7,12,1,297,"98",27,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/46677.html?class=1;template=results;type=batting;view=innings"
"N Phillip (WI)","1978-1979",9,15,5,297,"47",29.7,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/52678.html?class=1;template=results;type=batting;view=innings"
"GE Palmer (AUS)","1880-1886",17,25,4,296,"48",14.09,0,0,3,"https://stats.espncricinfo.com/ci/engine/player/7071.html?class=1;template=results;type=batting;view=innings"
"RS Cunis (NZ)","1964-1972",20,31,8,295,"51",12.82,0,1,6,"https://stats.espncricinfo.com/ci/engine/player/36628.html?class=1;template=results;type=batting;view=innings"
"RS Kalpage (SL)","1993-1999",11,18,2,294,"63",18.37,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/49356.html?class=1;template=results;type=batting;view=innings"
"SJ Rhodes (ENG)","1994-1995",11,17,5,294,"65*",24.5,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/19374.html?class=1;template=results;type=batting;view=innings"
"OC Dawson (SA)","1947-1949",9,15,1,293,"55",20.92,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/44683.html?class=1;template=results;type=batting;view=innings"
"DF Whatmore (AUS)","1979-1979",7,13,0,293,"77",22.53,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/8210.html?class=1;template=results;type=batting;view=innings"
"L Amar Singh (IND)","1932-1936",7,14,1,292,"51",22.46,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/26228.html?class=1;template=results;type=batting;view=innings"
"HJ Howarth (NZ)","1969-1977",30,42,18,291,"61",12.12,0,1,7,"https://stats.espncricinfo.com/ci/engine/player/37255.html?class=1;template=results;type=batting;view=innings"
"AO Jones (ENG)","1899-1909",12,21,0,291,"34",13.85,0,0,2,"https://stats.espncricinfo.com/ci/engine/player/15534.html?class=1;template=results;type=batting;view=innings"
"AMB Rowan (SA)","1947-1951",15,23,6,290,"41",17.05,0,0,3,"https://stats.espncricinfo.com/ci/engine/player/47003.html?class=1;template=results;type=batting;view=innings"
"KD Mills (NZ)","2004-2009",19,30,5,289,"57",11.56,0,1,5,"https://stats.espncricinfo.com/ci/engine/player/37740.html?class=1;template=results;type=batting;view=innings"
"ARA Murray (SA)","1952-1954",10,14,1,289,"109",22.23,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/46264.html?class=1;template=results;type=batting;view=innings"
"DVP Wright (ENG)","1938-1951",34,39,13,289,"45",11.11,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/22536.html?class=1;template=results;type=batting;view=innings"
"B Muzarabani (ZIM)","2017-2025",18,32,9,288,"47",12.52,0,0,5,"https://stats.espncricinfo.com/ci/engine/player/827051.html?class=1;template=results;type=batting;view=innings"
"Zahid Fazal (PAK)","1990-1995",9,16,0,288,"78",18,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/43697.html?class=1;template=results;type=batting;view=innings"
"DNT Zoysa (SL)","1997-2004",30,40,6,288,"28*",8.47,0,0,9,"https://stats.espncricinfo.com/ci/engine/player/51050.html?class=1;template=results;type=batting;view=innings"
"PT Barton (NZ)","1961-1963",7,14,0,285,"109",20.35,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/36289.html?class=1;template=results;type=batting;view=innings"
"CJ Richards (ENG)","1986-1988",8,13,0,285,"133",21.92,1,0,2,"https://stats.espncricinfo.com/ci/engine/player/19394.html?class=1;template=results;type=batting;view=innings"
"CB Lambert (WI)","1991-1998",5,9,0,284,"104",31.55,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/25635.html?class=1;template=results;type=batting;view=innings"
"FT Mann (ENG)","1922-1923",5,9,1,281,"84",35.12,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/16893.html?class=1;template=results;type=batting;view=innings"
"S Sreesanth (IND)","2006-2011",27,40,13,281,"35",10.4,0,0,10,"https://stats.espncricinfo.com/ci/engine/player/34274.html?class=1;template=results;type=batting;view=innings"
"JM Wiener (AUS)","1979-1980",6,11,0,281,"93",25.54,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/8224.html?class=1;template=results;type=batting;view=innings"
"MC Bird (ENG)","1910-1914",10,16,1,280,"61",18.66,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/9099.html?class=1;template=results;type=batting;view=innings"
"ST Finn (ENG)","2010-2016",36,47,22,279,"56",11.16,0,1,9,"https://stats.espncricinfo.com/ci/engine/player/210283.html?class=1;template=results;type=batting;view=innings"
"Ijaz Butt (PAK)","1959-1962",8,16,2,279,"58",19.92,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/40555.html?class=1;template=results;type=batting;view=innings"
"JWH Makepeace (ENG)","1920-1921",4,8,0,279,"117",34.87,1,2,0,"https://stats.espncricinfo.com/ci/engine/player/16882.html?class=1;template=results;type=batting;view=innings"
"PA Wallace (WI)","1997-1999",7,13,0,279,"92",21.46,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/53214.html?class=1;template=results;type=batting;view=innings"
"AJ Finch (AUS)","2018-2018",5,10,0,278,"62",27.8,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/5334.html?class=1;template=results;type=batting;view=innings"
"LMP Simmons (WI)","2009-2011",8,16,0,278,"49",17.37,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/53116.html?class=1;template=results;type=batting;view=innings"
"GR Stead (NZ)","1999-1999",5,8,0,278,"78",34.75,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/38403.html?class=1;template=results;type=batting;view=innings"
